26715	28029
55123	9613
26715	18680
55108	45568
55053	6029
55044	50406
55055	8723
55109	50611
55111	218
55125	55221
55128	9538
55130	4837
55269	1071
55270	50383
55273	9947
55040	40539
22669	14533
22295	25783
55046	42450
26718	38052
55049	64000
26717	24515
55127	6892
55122	4057
55106	9430
55266	52772
55268	51667
55123	50443
55043	8787
55049	40737
55124	52514
55135	2709
55047	40109
55046	6300
55130	4839
55122	44094
55108	49871
55131	43422
55122	44378
55125	55242
55047	41959
55266	42308
26716	30419
55041	5324
22540	29940
26718	24226
26718	34006
26717	27210
22295	35783
55059	3106
55059	7628
55112	2620
55059	5579
55108	107
55274	3741
55268	41192
55272	57082
55268	1277
55058	5399
55107	8298
55270	1348
55049	48634
55053	5751
55125	5670
55133	46678
22288	16012
55127	46279
55041	5679
26715	33068
22540	29920
22540	35570
55113	44730
22540	29939
55045	1847
55111	3459
22540	29949
55126	52111
55044	3450
26718	29449
26653	29689
26715	28419
55043	7838
55056	41300
55134	58701
55046	4379
55059	5365
55106	829
55109	50041
55110	40608
55123	40212
55124	2040
55127	6052
55134	47281
55264	52637
55042	9667
55269	4917
55060	6831
55052	5056
55053	5049
55105	40792
55112	59401
55129	41191
55131	3841
55266	2668
55044	8277
55045	1476
55052	50462
55107	3128
55107	9230
55108	49791
26719	22254
55264	41530
55268	41667
55269	1474
55044	51012
55051	65506
55122	44497
55109	40498
55108	992
55134	8541
55048	2134
26716	19783
55049	737
22709	31958
55132	45353
55135	2657
55266	42646
55040	50643
55045	1271
55049	40686
55109	40814
55110	59394
55126	51061
55129	51031
55131	3160
55131	53121
55265	2951
55268	51677
55269	1052
55272	47834
55274	3289
